province	city	school_url	school_grades	school_board	school_language	response_url	school_name	school_type	postal_code	phone_number	street_address
QC	Brossard	http://samueldechamplain.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/samuel-de-champlain-brossard/	École Samuel-De Champlain	Primary school	 J4W 2J4	450672-7950	7600, Tunisie
QC	Longueuil	http://adriengamache.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/adrien-gamache/	École Adrien-Gamache	Primary school	 J4L 1R5	450468-3402	2375, Lavallée
QC	Saint-Hubert	http://andre-laurendeau.ecoles.csmv.qc.ca/	Secondary	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/secondaire/nos-ecoles/andre-laurendeau/	École secondaire André-Laurendeau	Secondary school	 J3Y 3L4	450678-2080	7450, boulevard Cousineau
QC	Longueuil	http://sainte-claire-longueuil.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/sainte-claire-longueuil/	École Sainte-Claire (Longueuil)	Primary school	 J4J 3B3	450670-0211	805, Gardenville
QC	Brossard	http://saint-laurent.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/saint-laurent/	École Saint-Laurent	Primary school	 J4X 1M7	450465-7552	8535, Saguenay
QC	Saint-Hubert	http://saint-joseph.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/saint-joseph/	École Saint-Joseph	Primary school	 J4T 2V8	450678-2781	3855, Grande-Allée
QC	Brossard	http://tourterelle.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/tourterelle/	École Tourterelle	Primary school	 J4Z 2Z8	450678-9850	2240, André
QC	Brossard	http://sainte-claire-brossard.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/sainte-claire-brossard/	École Sainte-Claire (Brossard)	Primary school	 J4Z 3H7	450676-5451	6175, Aumont
QC	Longueuil	http://cure-lequin.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/saint-jude/	École Saint-Jude	Primary school	 J4K 3V8	450670-5962	653, Préfontaine
QC	Saint-Hubert	http://paul-chagnon.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/paul-chagnon/	École Paul-Chagnon	Primary school	 J3Y 3N5	450678-0792	5295, chemin de Chambly
QC	Saint-Lambert	http://preville.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/preville/	École Préville	Primary school	 J4S 1M8	450671-2662	139, d’Alsace
QC	Longueuil	http://pierre-diberville.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/pierre-diberville/	École Pierre-D’Iberville	Primary school	 J4J 4N3	450674-3285	897, Maple
QC	Longueuil	http://paul-demaricourt.ecoles.csmv.qc.ca/	primaire	Commission scolaire Marie-Victorin	French	https://www.csmv.qc.ca/primaire/nos-ecoles/paul-de-maricourt/	École Paul-De Maricourt	Primary school	 J4K 3K9	450674-1753	1275, Papineau
